,orig.ident,nCount_ATAC,nFeature_ATAC,nCount_RNA,nFeature_RNA,donor,batch,SEACell,Majority_Celltype,Majority_Cell_Count,condition,nCount_peaks,nFeature_peaks,nCount_geneActivities,nFeature_geneActivities
m65h_SEACell-38,VM_m65h,219048.0,53193,3571.1171547181893,13416,donor3,batch1,SEACell-38,Mono-like,11,m_65h,111037.0,46690,128844.0,15760
m65h_SEACell-26,VM_m65h,762926.0,88826,3413.4912012566097,14901,donor3,batch1,SEACell-26,Mono-like,62,m_65h,386441.0,76996,447095.0,17469
m65h_SEACell-35,VM_m65h,370992.0,68684,3277.420352541717,13376,donor3,batch1,SEACell-35,MacDC-like,21,m_65h,189073.0,58644,226666.0,16693
m65h_SEACell-27,VM_m65h,1136978.0,102270,3578.05314723915,15447,donor3,batch1,SEACell-27,MoMac-like,70,m_65h,575890.0,87783,663753.0,17816
m65h_SEACell-37,VM_m65h,497218.0,74982,2985.681848933221,13859,donor3,batch1,SEACell-37,MacDC-like,23,m_65h,251312.0,64492,289371.0,16832
m65h_SEACell-15,VM_m65h,804704.0,88942,3549.8323716048785,14947,donor3,batch1,SEACell-15,MoMac-like,72,m_65h,409083.0,76992,458363.0,17305
m65h_SEACell-31,VM_m65h,459754.0,73663,3248.7366886125146,14513,donor3,batch1,SEACell-31,MacDC-like,35,m_65h,231939.0,63970,263887.0,16770
m65h_SEACell-8,VM_m65h,1452026.0,105548,3347.008820279878,16139,donor3,batch1,SEACell-8,MoMac-like,94,m_65h,739926.0,90402,852338.0,17944
m65h_SEACell-2,VM_m65h,1158406.0,99660,3384.2767239968593,15300,donor3,batch1,SEACell-2,MoMac-like,69,m_65h,590268.0,85431,673558.0,17712
m65h_SEACell-21,VM_m65h,601028.0,80406,3020.902699122161,13816,donor3,batch1,SEACell-21,MoMac-like,47,m_65h,305316.0,68823,353767.0,17117
m65h_SEACell-17,VM_m65h,1395187.0,106139,3496.2056217499958,16163,donor3,batch1,SEACell-17,MoMac-like,101,m_65h,707196.0,90973,807481.0,17929
m65h_SEACell-7,VM_m65h,573519.0,77230,1604.2714649217648,13422,donor3,batch1,SEACell-7,MoMac-like,33,m_65h,289914.0,65451,345374.0,17210
m65h_SEACell-39,VM_m65h,295998.0,54691,2276.9906389115786,9515,donor3,batch1,SEACell-39,MoMac-like,20,m_65h,149910.0,46815,174944.0,16064
m65h_SEACell-16,VM_m65h,629948.0,80608,2607.6933816507935,12649,donor3,batch1,SEACell-16,MacDC-like,41,m_65h,318977.0,68714,372164.0,17225
m65h_SEACell-23,VM_m65h,330175.0,61314,2806.22778972311,11579,donor3,batch1,SEACell-23,Mono-like,27,m_65h,167221.0,53293,202772.0,16462
m65h_SEACell-36,VM_m65h,293730.0,55984,2811.1877321891543,12469,donor3,batch1,SEACell-36,MoMac-like,22,m_65h,149712.0,48389,171835.0,15970
m65h_SEACell-19,VM_m65h,564832.0,77993,2593.4448013527312,11743,donor3,batch1,SEACell-19,MoMac-like,23,m_65h,286985.0,66490,336001.0,17130
m65h_SEACell-14,VM_m65h,499451.0,75518,2097.9185249045468,12110,donor3,batch1,SEACell-14,MoMac-like,31,m_65h,253374.0,64291,299702.0,16959
m65h_SEACell-33,VM_m65h,665107.0,83398,1864.4397088424653,11662,donor3,batch1,SEACell-33,MacDC-like,39,m_65h,335932.0,71095,388307.0,17266
